id,name,state,region,primary_tags,secondary_tags,best_months,budget_min_per_day_inr,budget_max_per_day_inr,avg_trip_days,access,highlights,dos,donts
1,Goa,Goa,West,beach|nightlife,water_sports|food,Nov-Feb,5000,12000,4,flight|train|road,Beaches; nightlife; water sports,Book stays early in peak season; rent a scooter,Avoid isolated beaches late night; do not rely on walk-in in peak season
37,Guwahati,Assam,East,culture|family,temples|river,Oct-Mar,2500,6000,2,flight|road|train,Kamakhya temple; river cruise; markets,Visit temple early; plan a river cruise,Avoid peak rush hours; do not overpay for taxis
38,Puri,Odisha,East,beach|spiritual,temples|food,Oct-Feb,2500,6000,2,train|road,Jagannath temple; beach; local food,Respect temple rules; try local cuisine,Avoid swimming in unsafe zones; do not litter on beaches
39,Konark,Odisha,East,heritage|culture,temples|beach,Oct-Feb,2500,6000,2,road,Sun temple; carvings; nearby beaches,Visit early morning; hire official guides,Do not touch carvings; avoid midday heat
40,Bhubaneswar,Odisha,East,heritage|culture,temples|food,Oct-Feb,2500,6000,2,flight|train|road,Temple trail; museums; food,Plan a temple circuit; carry water,Avoid peak afternoon heat; do not rely on late public transport
41,Chilika Lake,Odisha,East,nature|birds,boating|food,Nov-Feb,2500,6000,2,road,Bird sanctuary; lake islands; dolphins,Start early for birding; book official boats,Do not feed wildlife; avoid plastic waste in lake
42,Visakhapatnam,Andhra Pradesh,South,beach|city,hills|food,Oct-Feb,3000,7000,3,flight|train|road,RK beach; hill views; museums,Visit beaches at sunrise; try local seafood,Avoid swimming in rough seas; do not overpay for cabs
43,Araku Valley,Andhra Pradesh,South,mountains|nature,coffee|waterfalls,Oct-Feb,2500,6000,2,train|road,Valley views; coffee estates; waterfalls,Take the scenic train; carry light layers,Avoid late night road travel; do not litter near falls
44,Tirupati,Andhra Pradesh,South,spiritual|family,temples|food,Oct-Mar,2500,6000,2,road|train,Temple darshan; hills; local food,Book darshan slots early; carry ID,Do not trust unofficial agents; avoid peak rush days
45,Hyderabad,Telangana,South,food|city,heritage|markets,Oct-Feb,3000,8000,2,flight|train|road,Charminar; biryani; old city,Try local food; visit early to avoid crowds,Avoid traffic peak hours; do not overpay for taxis
46,Badami,Karnataka,South,heritage|culture,caves|lakes,Oct-Feb,2500,6000,2,road|train,Cave temples; lake; forts,Visit caves early; carry sun protection,Do not climb unsafe areas; avoid midday heat
47,Mysuru,Karnataka,South,heritage|family,palaces|markets,Oct-Feb,2500,6000,2,road|train,Mysore Palace; markets; gardens,See palace illumination; start early,Avoid weekend crowd peaks; do not feed stray animals
48,Chikmagalur,Karnataka,South,mountains|nature,coffee|treks,Sep-May,3000,7000,3,road,Coffee estates; peaks; views,Start treks early; carry light layers,Avoid monsoon peak trekking; do not litter trails
49,Sakleshpur,Karnataka,South,nature|quiet,treks|rain,Oct-May,2500,6000,2,road,Green hills; trails; homestays,Book homestays in advance; carry rain gear,Avoid night drives in rain; do not disturb farmland
50,Hogenakkal,Tamil Nadu,South,waterfalls|nature,boating|family,Sep-Feb,2000,5000,2,road,Waterfalls; coracle rides; viewpoints,Check water level before boating; carry change of clothes,Do not enter restricted water zones; avoid weekends if you want quiet
51,Yercaud,Tamil Nadu,South,mountains|quiet,lakes|walks,Oct-Jun,2500,6000,2,road,Lake; viewpoints; gardens,Visit viewpoints early; carry light jacket,Avoid peak holiday traffic; do not litter parks
52,Rameswaram,Tamil Nadu,South,spiritual|beach,temples|history,Oct-Mar,2500,6000,2,train|road,Temple corridors; bridge views; beaches,Follow temple dress code; carry cash,Avoid swimming in unsafe zones; do not rely on late transport
53,Madurai,Tamil Nadu,South,heritage|culture,temples|food,Oct-Mar,2500,6000,2,train|road,Meenakshi temple; markets; food,Visit temple early; try local meals,Avoid peak heat; do not overpay for guides
54,Kanyakumari,Tamil Nadu,South,spiritual|beach,sunrise|sunset,Oct-Mar,2500,6000,2,train|road,Sunrise; Vivekananda rock; beaches,Arrive before sunrise; plan ferry timings,Avoid swimming in strong currents; do not litter seafront
55,Thiruvananthapuram,Kerala,South,beach|city,museums|food,Oct-Feb,3000,7000,2,flight|train|road,Kovalam beach; museums; food,Visit beaches early; plan museum hours,Avoid peak noon heat; do not overpay for taxis
56,Kochi,Kerala,South,heritage|food,backwaters|markets,Oct-Mar,3000,7000,2,flight|train|road,Fort Kochi; cafes; backwater views,Walk Fort Kochi early; try local seafood,Avoid peak weekend rush; do not ignore ferry timings
57,Kozhikode,Kerala,South,beach|food,history|markets,Oct-Feb,3000,6500,2,train|road,Beach sunset; food streets; heritage,Try local biryani; visit beach at sunset,Avoid unsafe swimming spots; do not litter beach
58,Thekkady,Kerala,South,wildlife|nature,spice|lakes,Oct-Apr,3000,7000,2,road,Periyar lake; spice gardens; forest,Book boat safari early; carry insect repellent,Do not feed wildlife; avoid loud noise in forest
59,Kumarakom,Kerala,South,backwaters|relaxation,birds|houseboat,Oct-Mar,3500,8000,2,road,Backwaters; bird sanctuary; houseboats,Book stays near lake; visit bird sanctuary early,Avoid plastic waste in backwaters; do not book unknown operators
60,Lakshadweep (Agatti),Lakshadweep,Islands,beach|snorkeling,islands|diving,Oct-May,8000,15000,4,flight|ferry,Lagoon waters; snorkeling; quiet beaches,Book permits and stays early; carry motion sickness meds,Do not touch corals; avoid travel during rough sea warnings
61,Neil Island,Andaman,Islands,beach|snorkeling,quiet|nature,Nov-Apr,6000,12000,3,flight|ferry,Clear beaches; snorkeling; slow pace,Book ferry slots early; carry sunscreen,Avoid late night travel; do not touch corals
62,Mumbai,Maharashtra,West,city|food,beaches|nightlife,Oct-Feb,4000,10000,2,flight|train|road,Gateway; food scenes; sea drive,Use local transport; explore early mornings,Avoid peak traffic times; do not overpay for taxis
63,Pune,Maharashtra,West,city|food,heritage|hills,Oct-Feb,3000,7000,2,road|train,Cafes; forts; nearby hills,Visit forts early; try local food,Avoid weekend traffic to hill spots; do not litter trails
64,Lonavala,Maharashtra,West,mountains|nature,waterfalls|views,Jun-Sep,2500,6000,2,road|train,Monsoon waterfalls; viewpoints; chikki,Travel in monsoon for views; carry rain gear,Avoid risky cliff edges; do not stop on narrow roads
65,Mahabaleshwar,Maharashtra,West,mountains|nature,strawberries|views,Oct-Jun,3000,7000,2,road,Viewpoints; strawberries; lakes,Visit early to avoid crowds; carry light layers,Avoid peak holiday traffic; do not litter viewpoints
66,Alibaug,Maharashtra,West,beach|weekend,forts|sea,Oct-Mar,3000,7000,2,ferry|road,Beaches; forts; seafood,Check ferry timings; carry sunscreen,Avoid swimming in unsafe zones; do not litter beaches
67,Tarkarli,Maharashtra,West,beach|snorkeling,water_sports|quiet,Oct-Mar,3000,7000,2,road,Clear waters; water sports; beaches,Book water sports early; carry cash,Avoid rough sea warnings; do not touch corals
68,Aurangabad,Maharashtra,West,heritage|history,caves|forts,Oct-Mar,2500,6000,2,flight|train|road,Ajanta; Ellora; forts,Plan early start for caves; carry water,Do not touch carvings; avoid peak noon heat
69,Ajanta Caves,Maharashtra,West,heritage|history,caves|art,Oct-Mar,2500,6000,2,road,Ancient murals; caves; history,Visit early; hire official guide,Do not use flash photography; avoid peak noon heat
70,Nashik,Maharashtra,West,culture|food,vineyards|temples,Oct-Feb,3000,7000,2,road|train,Vineyards; temples; river ghats,Book wine tours in advance; visit ghats early,Avoid peak traffic hours; do not overpay for taxis
71,Ahmedabad,Gujarat,West,culture|food,heritage|markets,Oct-Feb,2500,6000,2,flight|train|road,Old city; riverfront; food,Take a heritage walk; try local snacks,Avoid peak afternoon heat; do not overpay for autos
72,Gir National Park,Gujarat,West,wildlife|nature,safari|lions,Nov-Apr,3000,7000,2,road,Asiatic lions; safaris; forests,Book safaris online; carry binoculars,Do not feed animals; avoid loud noise
73,Dwarka,Gujarat,West,spiritual|coastal,temples|sea,Oct-Mar,2500,6000,2,road|train,Dwarkadhish temple; coast; evening aarti,Visit temple early; plan for coastal wind,Avoid swimming in unsafe zones; do not trust unofficial guides
74,Somnath,Gujarat,West,spiritual|coastal,temples|heritage,Oct-Mar,2500,6000,2,road|train,Somnath temple; sea views; history,Attend evening aarti; carry light jacket,Avoid peak crowds; do not litter seafront
75,Mount Abu,Rajasthan,North,mountains|heritage,lakes|temples,Oct-Mar,3000,7000,2,road,Dilwara temples; lake; viewpoints,Visit temples early; carry light layers,Avoid peak holiday crowds; do not litter trails
76,Pushkar,Rajasthan,North,culture|spiritual,lakes|markets,Oct-Mar,3000,7000,2,road,Pushkar lake; markets; cafes,Respect temple rules; visit lake at sunrise,Avoid aggressive touts; do not litter ghats
77,Ranthambore,Rajasthan,North,wildlife|adventure,safari|fort,Oct-Apr,4000,9000,2,train|road,Tiger safaris; fort; lakes,Book safari slots early; carry neutral colors,Do not feed animals; avoid loud noise
78,Agra,Uttar Pradesh,North,heritage|culture,monuments|food,Oct-Mar,2500,6000,2,train|road,Taj Mahal; forts; markets,Visit Taj at sunrise; buy tickets online,Avoid peak midday heat; do not trust unofficial guides
79,Delhi,Delhi,North,heritage|food,markets|museums,Oct-Mar,3000,8000,2,flight|train|road,Monuments; food streets; museums,Use metro for travel; plan early mornings,Avoid peak traffic hours; do not overpay for autos
80,Lucknow,Uttar Pradesh,North,culture|food,heritage|markets,Oct-Mar,2500,6000,2,flight|train|road,Awadhi food; heritage sites; bazaars,Try local kebabs; visit old city early,Avoid peak traffic; do not overpay for taxis
81,Orchha,Madhya Pradesh,Central,heritage|quiet,forts|river,Oct-Mar,2500,6000,2,train|road,Fort complex; river views; temples,Walk the fort early; carry water,Avoid late night isolated areas; do not litter
82,Khajuraho,Madhya Pradesh,Central,heritage|culture,temples|history,Oct-Mar,3000,7000,2,flight|train|road,Temple carvings; light show; museums,Visit temples early; hire official guide,Do not touch carvings; avoid peak afternoon heat
83,Bhopal,Madhya Pradesh,Central,heritage|food,lakes|museums,Oct-Feb,2500,6000,2,train|road,Upper lake; museums; old city,Visit lake early; try local snacks,Avoid late night travel alone; do not overpay for taxis
84,Pachmarhi,Madhya Pradesh,Central,mountains|nature,waterfalls|caves,Oct-Jun,3000,7000,3,road,Waterfalls; caves; viewpoints,Hire local guides for treks; carry water,Avoid monsoon peak routes; do not litter trails
85,Bandhavgarh,Madhya Pradesh,Central,wildlife|adventure,safari|forest,Oct-Apr,4000,9000,2,road,Tiger reserve; forests; safaris,Book safari permits early; carry binoculars,Do not feed animals; avoid loud noise
86,Kanha,Madhya Pradesh,Central,wildlife|nature,safari|forest,Oct-Apr,4000,9000,2,road,Tiger reserve; meadows; wildlife,Book safaris in advance; carry neutral clothing,Do not use flash; avoid loud noise
87,Sundarbans,West Bengal,East,wildlife|nature,mangroves|boat,Nov-Mar,3000,7000,2,road|boat,Mangroves; boat safaris; wildlife,Travel with licensed guides; carry insect repellent,Do not venture alone; avoid plastic waste
88,Kolkata,West Bengal,East,culture|food,heritage|markets,Oct-Mar,2500,7000,2,flight|train|road,Colonial heritage; street food; museums,Try local sweets; explore early mornings,Avoid peak traffic hours; do not overpay for taxis
89,Digha,West Bengal,East,beach|family,seaside|markets,Oct-Feb,2000,5000,2,road|train,Beach walks; seafood; markets,Visit beach early; carry sunscreen,Avoid swimming in unsafe zones; do not litter
90,Cherrapunji,Meghalaya,East,nature|waterfalls,caves|rain,Oct-Apr,3000,7000,2,road,Waterfalls; caves; living bridges,Carry rain gear; start early for bridges,Avoid slippery trails in heavy rain; do not litter
91,Dzukou Valley,Nagaland,East,trekking|nature,valley|flowers,Oct-Apr,3000,7000,3,road,Valley trek; seasonal flowers; views,Carry warm layers; hire local guide,Avoid trekking in heavy rain; do not leave trash
92,Kohima,Nagaland,East,culture|history,war|markets,Oct-Apr,2500,6000,2,road,War cemetery; views; markets,Visit memorial early; carry light layers,Avoid late night travel; do not litter
93,Aizawl,Mizoram,East,culture|nature,viewpoints|markets,Oct-Apr,3000,7000,2,flight|road,Hill city; viewpoints; markets,Carry light layers; explore local markets,Avoid night drives on hills; do not litter
94,Pelling,Sikkim,East,mountains|nature,monasteries|views,Oct-May,3000,7000,3,road,Kanchenjunga views; monasteries; waterfalls,Start early for views; carry warm layers,Avoid travel in landslide zones; do not litter
95,Kalimpong,West Bengal,East,mountains|quiet,monasteries|markets,Oct-May,3000,7000,2,road,Hill views; monasteries; nurseries,Visit nurseries early; carry light layers,Avoid monsoon travel; do not litter
96,Kullu,Himachal Pradesh,North,mountains|nature,adventure|river,Mar-Jun|Sep-Nov,3000,7000,3,road,Valley views; river rafting; markets,Plan rafting in season; carry light layers,Avoid rafting in monsoon peak; do not litter river banks
97,Auli,Uttarakhand,North,mountains|snow,skiing|views,Dec-Feb,4000,9000,3,road,Ski slopes; cable car; views,Book stays early in snow season; carry warm gear,Avoid unsafe slopes; do not ignore weather warnings
98,Jim Corbett,Uttarakhand,North,wildlife|nature,safari|river,Nov-Jun,3500,8000,2,road|train,Tiger reserve; safaris; forest,Book safaris early; carry neutral colors,Do not feed animals; avoid loud noise
99,Haridwar,Uttarakhand,North,spiritual|culture,ghats|temples,Oct-Mar,2500,6000,2,train|road,Ganga aarti; ghats; markets,Attend evening aarti; keep belongings secure,Avoid late night isolated ghats; do not litter
100,Bir Billing,Himachal Pradesh,North,adventure|nature,paragliding|monasteries,Oct-Jun,3000,7000,3,road,Paragliding; cafes; monasteries,Book flying slots early; carry windproof jacket,Avoid flying in bad weather; do not litter trails
101,Port Blair,Andaman and Nicobar Islands,Islands,beach|city,history|nature,Nov-Apr,6000,12000,3,flight|ferry,Harbor views; museums; island hopping,Book permits early; plan ferry timings,Do not expect late night transport; avoid touching corals
102,Baratang Island,Andaman and Nicobar Islands,Islands,nature|adventure,caves|mangroves,Nov-Apr,6000,12000,2,ferry|road,Limestone caves; mangroves; boat rides,Hire licensed boat operators; start early,Avoid unsafe boats; do not litter caves
103,Diglipur,Andaman and Nicobar Islands,Islands,beach|nature,quiet|wildlife,Nov-Apr,6000,12000,3,ferry|road,Quiet beaches; turtle nesting; forest views,Carry cash and basics; plan transport early,Avoid night travel on forest roads; do not disturb nesting sites
104,Auroville,Puducherry,South,culture|relaxation,wellness|quiet,Oct-Mar,3500,7000,2,road,Matrimandir; community cafes; calm spaces,Respect community guidelines; rent a bicycle,Do not wander into restricted zones; avoid peak noon heat
105,Bekal,Kerala,South,beach|heritage,forts|quiet,Oct-Mar,3000,7000,2,road|train,Bekal fort; quiet beaches; sunsets,Visit fort early; carry sun protection,Avoid isolated beaches late night; do not litter
106,Vagamon,Kerala,South,mountains|nature,quiet|meadows,Sep-May,2500,6000,2,road,Meadows; pine forests; viewpoints,Carry light layers; start early,Avoid late night hill drives; do not litter trails
107,Athirappilly,Kerala,South,waterfalls|nature,forests|family,Sep-Feb,2500,6000,2,road,Waterfalls; forest views; short walks,Visit early; carry rain gear,Avoid slippery rocks; do not enter restricted water zones
108,Kollam,Kerala,South,backwaters|beach,heritage|food,Oct-Mar,3000,7000,2,train|road,Backwater rides; beaches; local food,Take a day cruise; try local seafood,Avoid plastic waste in backwaters; do not book unknown boats
109,Thrissur,Kerala,South,culture|heritage,temples|food,Oct-Feb,2500,6000,2,train|road,Temples; markets; cultural sites,Visit temples early; plan local transport,Avoid peak festival crowds if unprepared; do not litter
110,Kannur,Kerala,South,beach|culture,forts|food,Oct-Mar,3000,7000,2,train|road,Quiet beaches; forts; Theyyam culture,Check Theyyam schedules; visit beaches early,Avoid unsafe swimming zones; do not litter
111,Udupi,Karnataka,South,beach|spiritual,food|culture,Oct-Mar,2500,6000,2,train|road,Temple town; beaches; local food,Visit temple early; try local cuisine,Avoid peak noon heat; do not overpay for autos
112,Mangalore,Karnataka,South,beach|city,food|heritage,Oct-Feb,3000,7000,2,flight|train|road,Beaches; seafood; old city,Try local seafood; visit beaches at sunrise,Avoid unsafe swimming spots; do not ignore traffic rules
113,Murudeshwar,Karnataka,South,beach|spiritual,temples|views,Oct-Mar,2500,6000,2,train|road,Shiva statue; beach; temple town,Visit early morning; carry sun protection,Avoid peak holiday crowds; do not litter
114,Karwar,Karnataka,South,beach|quiet,nature|food,Oct-Mar,2500,6000,2,train|road,Quiet beaches; island views; seafood,Plan a boat ride; visit beaches early,Avoid unsafe swimming zones; do not litter
115,Chitradurga,Karnataka,South,heritage|history,forts|trekking,Oct-Feb,2000,5000,2,road|train,Fort; rock formations; views,Carry water; start early,Avoid slippery rocks after rain; do not litter
116,Kabini,Karnataka,South,wildlife|nature,safari|river,Oct-May,5000,12000,2,road,Wildlife safaris; river views; forests,Book safari early; carry neutral clothing,Do not feed animals; avoid loud noise
117,Bandipur,Karnataka,South,wildlife|nature,safari|forest,Oct-May,4000,9000,2,road,Tiger reserve; safaris; forest drives,Book entry slots; carry binoculars,Do not feed animals; avoid loud noise
118,Nagarhole,Karnataka,South,wildlife|nature,safari|river,Oct-May,4000,9000,2,road,Forest safaris; wildlife; river views,Book safari in advance; carry neutral colors,Do not litter; avoid loud noise
119,Valparai,Tamil Nadu,South,mountains|nature,tea|quiet,Oct-Mar,3000,7000,3,road,Tea estates; winding roads; cool weather,Drive in daylight; carry light layers,Avoid night drives; do not litter trails
120,Yelagiri,Tamil Nadu,South,mountains|family,lakes|trekking,Oct-Mar,2500,6000,2,road,Hills; lakes; easy treks,Start early; carry water,Avoid late night hill drives; do not litter
121,Thanjavur,Tamil Nadu,South,heritage|culture,temples|history,Oct-Feb,2500,6000,2,train|road,Brihadeeswara temple; heritage; museums,Visit temples early; hire official guides,Do not touch carvings; avoid peak afternoon heat
122,Tiruchirappalli,Tamil Nadu,South,heritage|spiritual,temples|food,Oct-Feb,2500,6000,2,train|road,Rock fort; temples; local food,Start early for hill climb; try local snacks,Avoid peak heat; do not overpay for autos
123,Chennai,Tamil Nadu,South,city|food,beach|culture,Nov-Feb,3000,8000,2,flight|train|road,Marina beach; food; heritage areas,Visit beaches early; use metro when possible,Avoid peak traffic hours; do not overpay for cabs
124,Kumbakonam,Tamil Nadu,South,heritage|spiritual,temples|culture,Oct-Feb,2500,6000,2,train|road,Temple town; heritage streets; local food,Plan temple circuit; start early,Avoid peak heat; do not rely on late transport
125,Chettinad (Karaikudi),Tamil Nadu,South,culture|food,heritage|architecture,Oct-Feb,2500,6000,2,train|road,Chettinad mansions; cuisine; heritage,Book heritage stays early; try local meals,Avoid peak afternoon heat; do not overpay for guides
126,Dhanushkodi,Tamil Nadu,South,beach|heritage,quiet|nature,Oct-Mar,2500,6000,2,road,Ghost town; beaches; sea views,Carry water and sun protection; start early,Avoid late evening travel; do not ignore weather alerts
127,Srisailam,Andhra Pradesh,South,spiritual|nature,temples|river,Oct-Feb,2500,6000,2,road,Temple; river views; forests,Book darshan if needed; start early,Avoid night drives on ghat roads; do not litter
128,Lepakshi,Andhra Pradesh,South,heritage|culture,temples|history,Oct-Feb,2000,5000,2,road,Hanging pillar temple; murals; sculpture,Visit early; hire official guides,Do not touch carvings; avoid peak noon heat
129,Amaravati,Andhra Pradesh,South,heritage|spiritual,history|river,Oct-Feb,2000,5000,2,road,Buddhist sites; river views; museums,Visit early; carry water,Avoid peak heat; do not overpay for autos
130,Warangal,Telangana,South,heritage|culture,forts|temples,Oct-Feb,2500,6000,2,train|road,Fort; temples; lake,Start early; carry water,Avoid peak heat; do not litter
131,Adilabad,Telangana,South,nature|waterfalls,forests|quiet,Oct-Feb,2500,6000,2,road|train,Waterfalls; forest trails; viewpoints,Visit in daylight; carry insect repellent,Avoid late night travel; do not enter restricted forest zones
132,Bidar,Karnataka,South,heritage|culture,forts|history,Oct-Feb,2000,5000,2,train|road,Bidar fort; monuments; old city,Visit early; hire official guides,Do not climb unsafe areas; avoid peak heat
133,Kalaburagi,Karnataka,South,heritage|culture,forts|food,Oct-Feb,2000,5000,2,train|road,Fort; heritage sites; local food,Plan a short heritage circuit; start early,Avoid peak afternoon heat; do not overpay for autos
134,Nandi Hills,Karnataka,South,mountains|nature,views|family,Oct-Feb,2000,5000,1,road,Sunrise views; short hikes; viewpoints,Start very early for sunrise; carry light layers,Avoid late night drives; do not litter viewpoints
